title,movieId,budget
Toy Story,862,30000000
Jumanji,8844,65000000
Grumpier Old Men,15602,0
Waiting to Exhale,31357,16000000
Father of the Bride Part II,11862,0
Heat,949,60000000
Sabrina,11860,58000000
Tom and Huck,45325,0
Sudden Death,9091,35000000
GoldenEye,710,58000000
The American President,9087,62000000
Dracula: Dead and Loving It,12110,0
Balto,21032,0
Nixon,10858,44000000
Cutthroat Island,1408,98000000
Casino,524,52000000
Sense and Sensibility,4584,16500000
Four Rooms,5,4000000
Ace Ventura: When Nature Calls,9273,30000000
Money Train,11517,60000000
Get Shorty,8012,30250000
Copycat,1710,0
Assassins,9691,50000000
Powder,12665,0
Leaving Las Vegas,451,3600000
Othello,16420,0
Now and Then,9263,12000000
Persuasion,17015,0
The City of Lost Children,902,18000000
Shanghai Triad,37557,0
Dangerous Minds,9909,0
Twelve Monkeys,63,29500000
Wings of Courage,78802,0
Babe,9598,30000000
Carrington,47018,0
Dead Man Walking,687,11000000
Across the Sea of Time,139405,0
It Takes Two,33689,0
Clueless,9603,12000000
"Cry, the Beloved Country",34615,0
Richard III,31174,0
Dead Presidents,11443,10000000
Restoration,35196,19000000
Mortal Kombat,9312,18000000
To Die For,577,20000000
How To Make An American Quilt,11861,10000000
Se7en,807,33000000
Pocahontas,10530,55000000
When Night Is Falling,8391,0
The Usual Suspects,629,6000000
Guardian Angel,117164,0
Mighty Aphrodite,11448,15000000
Lamerica,49133,0
The Big Green,26441,0
Georgia,97406,0
Kids of the Round Table,124057,0
Home for the Holidays,9089,0
The Postman,11010,0
The Confessional,99040,0
The Indian in the Cupboard,11359,45000000
Eye for an Eye,17182,20000000
Mr. Holland's Opus,2054,0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,10607,0
Two If by Sea,19760,0
Bio-Dome,9536,15000000
Lawnmower Man 2: Beyond Cyberspace,11525,0
Two Bits,40628,0
French Twist,4482,0
Friday,10634,3500000
From Dusk Till Dawn,755,19000000
Fair Game,11859,50000000
Kicking and Screaming,28387,0
Les Miserables,48750,0
Bed of Roses,20927,0
Big Bully,36929,15000000
Screamers,9102,20000000
Nico Icon,124626,0
The Crossing Guard,27526,0
The Juror,9623,44000000
The White Balloon,46785,0
Things to Do in Denver When You're Dead,400,8000000
Antonia's Line,880,900000
Once Upon a Time... When We Were Colored,146599,0
Last Summer in the Hamptons,188588,0
Angels and Insects,8447,0
White Squall,10534,38000000
Dunston Checks In,17414,16000000
Black Sheep,13997,0
Nick of Time,2086,8169363
The Journey of August King,61548,0
Mary Reilly,9095,47000000
Vampire in Brooklyn,12158,14000000
Beautiful Girls,9283,0
Broken Arrow,9208,50000000
A Midwinter's Tale,40154,0
La Haine,406,3000000
Shopping,45549,0
Heidi Fleiss: Hollywood Madam,63076,0
City Hall,11062,0
Bottle Rocket,13685,7000000
Mr. Wrong,47475,0
Unforgettable,2045,18000000
Happy Gilmore,9614,12000000
The Bridges of Madison County,688,24000000
Nobody Loves Me,11907,0
Muppet Treasure Island,10874,0
Catwalk,89333,0
Headless Body in Topless Bar,96357,0
Braveheart,197,72000000
Taxi Driver,103,1300000
Rumble in the Bronx,33542,7500000
Before and After,43566,35000000
Margaret's Museum,71754,0
Happiness Is in the Field,43612,13365000
Anne Frank Remembered,51352,0
The Young Poisoner's Handbook,16934,0
If Lucy Fell,10324,0
Steal Big Steal Little,78406,25000000
Race the Sun,55731,0
The Boys of St. Vincent,32119,0
Boomerang,11066,40000000
Chungking Express,11104,0
The Star Maker,37975,0
Flirting with Disaster,2074,7000000
The Neverending Story III: Escape from Fantasia,27793,17000000
The Silences of the Palace,44284,0
Jupiter's Wife,290157,0
Pie in the Sky,110972,0
Angela,32622,0
Frankie Starlight,73067,0
Jade,11863,50000000
Nueba Yol,55475,0
Sonic Outlaws,124636,0
Down Periscope,9101,0
From the Journals of Jean Seberg,123360,0
Man of the Year,5757,0
The Neon Bible,39428,0
Target,124639,0
Up Close & Personal,9302,60000000
The Birdcage,11000,31000000
Virgin Mary,249882,0
The Brothers McMullen,16388,0
Bad Boys,9737,19000000
The Amazing Panda Adventure,30765,0
The Basketball Diaries,10474,0
An Awfully Big Adventure,22279,4000000
Amateur,30157,0
Apollo 13,568,52000000
Rob Roy,11780,28000000
The Addiction,34996,0
Batman Forever,414,100000000
Belle de Jour,649,0
Beyond Rangoon,1873,0
Blue in the Face,5894,2000000
Canadian Bacon,1775,11000000
Casper,8839,50000000
Clockers,20649,25000000
Congo,10329,50000000
Crimson Tide,8963,53000000
Crumb,26564,0
Desperado,8068,7000000
Devil in a Blue Dress,8512,27000000
Die Hard: With a Vengeance,1572,90000000
The Doom Generation,13552,0
Feast of July,259209,0
First Knight,6520,55000000
Free Willy 2 - The Adventure Home,9073,0
Hackers,10428,20000000
Jeffrey,17447,0
