Date,AMC,AMZN,BTC-USD,GME,QQQ,VWUSX,^GSPC
2001-08-03,,12.15,,,37.49,18.32,1214.35
2001-08-06,,11.9,,,36.9,18.08,1200.48
2001-08-07,,11.6,,,36.71,18.11,1204.4
2001-08-08,,11.11,,,35.16,17.7,1183.53
2001-08-09,,10.46,,,35.31,,1183.43
2001-08-10,,9.95,,,34.97,17.75,1190.16
2001-08-13,,10.12,,,35.69,,1191.29
2001-08-14,,10.53,,,35.25,17.58,1186.73
2001-08-15,,10.08,,,33.95,17.42,1178.02
2001-08-16,,9.81,,,34.35,17.37,1181.66
2001-08-17,,9.99,,,32.79,17.06,1161.97
2001-08-20,,10.4,,,33.24,17.15,1171.41
2001-08-21,,9.89,,,31.86,16.92,1157.26
2001-08-22,,10.2,,,32.72,17.03,1165.31
2001-08-23,,9.63,,,32.4,16.9,1162.09
2001-08-24,,10.23,,,34.12,17.41,1184.93
2001-08-27,,10.13,,,34.17,17.35,1179.21
2001-08-28,,9.97,,,33.1,17.02,1161.51
2001-08-29,,9.19,,,32.61,16.79,1148.56
2001-08-30,,8.69,,,31.4,16.38,1129.03
2001-08-31,,8.94,,,31.8,16.54,1133.58
2001-09-04,,8.59,,,30.8,16.47,1132.94
2001-09-05,,7.65,,,30.68,16.29,1131.74
2001-09-06,,8.15,,,29.43,15.86,1106.4
2001-09-07,,8.51,,,29.26,15.48,1085.78
2001-09-10,,8.63,,,29.61,15.62,1092.54
2001-09-17,,7.49,,,27.09,14.69,1038.77
2001-09-18,,7.29,,,26.48,14.45,1032.74
2001-09-19,,7.31,,,26.02,14.21,1016.1
2001-09-20,,7.48,,,25.15,13.69,984.54
2001-09-21,,7.48,,,24.48,13.59,965.8
2001-09-24,,7.46,,,25.71,14.31,1003.45
2001-09-25,,7.09,,,25.79,14.36,1012.27
2001-09-26,,6.35,,,24.89,14.01,1007.04
2001-09-27,,6.2,,,24.73,14.11,1018.61
2001-09-28,,5.97,,,25.16,14.49,1040.94
2001-10-01,,6.01,,,24.95,14.44,1038.55
2001-10-02,,6.08,,,25.02,14.62,1051.33
2001-10-03,,6.76,,,26.92,15.19,1072.28
2001-10-04,,7.04,,,27.18,15.29,1069.63
2001-10-05,,7.2,,,27.58,15.37,1071.38
2001-10-08,,7.12,,,27.66,15.22,1062.44
2001-10-09,,6.91,,,26.99,15.04,1056.75
2001-10-10,,7.26,,,28.22,15.52,1080.99
2001-10-11,,7.85,,,30.13,16.04,1097.43
2001-10-12,,8.07,,,30.0,16.02,1091.65
2001-10-15,,8.88,,,29.87,15.91,1089.98
2001-10-16,,9.56,,,30.35,16.14,1097.54
2001-10-17,,8.92,,,28.17,15.73,1077.09
2001-10-18,,8.47,,,28.94,15.66,1068.61
2001-10-19,,8.01,,,29.13,15.77,1073.48
2001-10-22,,8.77,,,29.91,16.07,1089.9
2001-10-23,,9.55,,,30.07,16.05,1084.78
2001-10-24,,7.64,,,30.72,16.16,1085.2
2001-10-25,,7.77,,,31.95,,1100.09
2001-10-26,,7.56,,,31.27,16.45,1104.61
2001-10-29,,7.05,,,29.56,15.92,1078.3
2001-10-30,,6.42,,,28.98,15.58,1059.79
2001-10-31,,6.98,,,29.43,,1059.78
2001-11-01,,6.95,,,30.68,16.0,1084.1
2001-11-02,,6.71,,,30.91,,1087.2
2001-11-05,,6.99,,,31.92,16.39,1102.84
2001-11-06,,7.05,,,33.16,16.67,1118.86
2001-11-07,,7.43,,,33.12,16.63,1115.8
2001-11-08,,6.97,,,32.78,16.76,1118.54
2001-11-09,,7.12,,,32.76,16.82,1120.31
2001-11-12,,7.05,,,32.99,16.88,1118.33
2001-11-13,,7.29,,,34.17,,1139.09
2001-11-14,,9.49,,,34.42,17.53,1141.21
2001-11-15,,9.05,,,34.28,17.52,1142.24
2001-11-16,,8.95,,,34.18,17.47,1138.65
2001-11-19,,9.19,,,35.16,17.75,1151.06
2001-11-20,,8.6,,,33.53,17.46,1142.66
2001-11-21,,8.8,,,33.36,17.39,1137.03
2001-11-23,,9.08,,,34.11,,1150.34
2001-11-26,,12.21,,,34.95,17.8,1157.42
2001-11-27,,11.48,,,34.9,17.73,1149.5
2001-11-28,,11.59,,,33.64,17.23,1128.52
2001-11-29,,11.15,,,34.69,,1140.2
2001-11-30,,11.32,,,34.43,17.33,1139.45
2001-12-03,,10.49,,,33.84,17.13,1129.9
2001-12-04,,11.93,,,35.45,17.51,1144.8
2001-12-05,,11.76,,,37.2,17.99,1170.35
